PLAYER_ID,RANK,MOVEMENT,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,TOTAL SG:PUTTING,TOTAL STROKES,TOTAL ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL ADJUSTMENT,TOTAL SG:APP,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,TOTAL SG:OTT,SG:OTT,SG:APR,SG:ARG,PAR OR BETTER,MISSED GIR,TOTAL DISTANCE,TOTAL DRIVES,TOTAL SG:ARG,FAIRWAYS HIT,POSSIBLE FAIRWAYS
35310,126,19,Lanto Griffin,-0.195,-7.611,-1.035,-6.576,39.0,-6.576,3362.0,48.0,70.96%,562.0,792.0,-0.27,57.233,4.503,"7' 10""",1739.417,222.0,166.0,6.27,0.161,0.115,-0.303,125.0,230.0,26842.0,88.0,-11.809,362.0,608.0
35450,31,0,Patrick Cantlay,0.739,31.776,18.495,13.282,43.0,13.282,3700.0,53.0,63.38%,559.0,882.0,-0.34,42.009,2.549,"7' 1""",2109.833,299.0,39.0,5.528,0.129,0.059,0.242,204.0,323.0,29368.0,98.0,10.403,406.0,690.0
35461,60,-2,Beau Hossler,0.392,21.583,-6.468,28.051,55.0,28.051,4258.0,61.0,66.47%,682.0,1026.0,-0.3,54.161,-23.11,"7' 4""",2662.833,364.0,51.0,-2.43,-0.044,-0.42,0.347,214.0,344.0,33978.0,114.0,19.071,437.0,792.0
35506,61,2,Mackenzie Hughes,0.386,23.569,-13.314,36.883,61.0,36.883,4411.0,63.0,61.90%,702.0,1134.0,-0.33,51.386,-19.282,"7' 3""",3222.917,444.0,17.0,-13.489,-0.221,-0.316,0.319,281.0,432.0,37501.0,126.0,19.442,497.0,872.0
35532,25,-2,Tom Hoge,0.812,54.373,43.89,10.484,67.0,10.484,5066.0,73.0,68.04%,845.0,1242.0,-0.34,71.116,61.007,"7' 4""",2932.0,399.0,84.0,0.456,0.007,0.911,-0.263,240.0,397.0,40486.0,138.0,-17.589,601.0,964.0
36326,159,5,David Lipsky,-0.735,-30.873,-0.957,-29.918,42.0,-29.918,3413.0,48.0,67.41%,546.0,810.0,-0.24,45.999,9.179,"7' 9""",1950.083,252.0,155.0,-13.127,-0.313,0.219,0.071,148.0,264.0,25945.0,90.0,2.976,383.0,624.0
36699,94,0,Patrick Rodgers,0.078,4.677,2.357,2.319,60.0,2.319,4352.0,62.0,68.64%,766.0,1116.0,-0.29,55.199,-18.953,"7' 6""",2892.167,384.0,109.0,15.032,0.251,-0.316,0.105,205.0,350.0,37873.0,124.0,6.279,492.0,862.0
36799,46,0,Stephan Jaeger,0.509,26.988,33.961,-6.972,53.0,-6.972,4269.0,61.0,65.59%,673.0,1026.0,-0.3,42.898,2.229,"7' 0""",2588.667,368.0,76.0,18.665,0.352,0.042,0.247,215.0,353.0,35200.0,114.0,13.067,468.0,790.0
36801,52,-7,Mark Hubbard,0.459,28.918,18.472,10.447,63.0,10.447,5088.0,73.0,66.26%,823.0,1242.0,-0.31,61.452,15.963,"7' 8""",3154.5,411.0,70.0,0.346,0.005,0.253,0.034,256.0,419.0,40474.0,138.0,2.147,646.0,956.0
36871,148,14,Matt NeSmith,-0.49,-22.05,-15.25,-6.8,45.0,-6.8,3803.0,54.0,68.67%,618.0,900.0,-0.24,58.509,-4.934,"8' 11""",2363.417,265.0,127.0,-2.301,-0.051,-0.11,-0.178,163.0,282.0,29350.0,99.0,-8.029,419.0,694.0
